object_num,area,aspect,angle,axis_major,axis_minor,perimeter,length,width,x,y
25,40.251453,2.0943809,145.86403,10.546017,5.0353866,26.213179,10.496704,5.4443359,338.561451,53.60827632
235,44.267216,2.2533457,109.75157,11.569019,5.1341519,29.430038,11.759216,5.7852783,105.2032975,377.8527438
123,56.896229,2.6419852,6.1461725,13.890627,5.2576475,31.704758,13.59668,5.0247803,400.1086199,200.7743667
238,65.828484,2.7812116,58.805626,15.650309,5.6271548,41.246441,15.552612,7.3919754,266.1448251,388.2449356
214,68.605743,2.1848342,44.226067,13.847548,6.3380313,32.703003,13.471924,6.0023804,336.9729168,347.970126
103,68.830925,1.5500783,5.6709485,11.729948,7.5673261,31.285049,11.94165,7.4703369,398.155519,172.467956
245,69.75042,1.6213763,68.136986,12.083771,7.4527864,31.814684,12.259033,7.7543583,237.4382038,396.5219442
177,71.702003,2.2706406,28.142834,14.432728,6.356236,33.685696,13.860352,6.0394897,384.1114525,282.2516361
67,80.765617,1.2839901,17.076952,11.62627,9.0547972,34.251465,11.580566,9.2261963,386.3461761,129.2594491
35,80.803154,1.8918058,46.139252,14.027404,7.4148226,35.217159,14.06369,7.7142925,49.23630784,71.16079312
50,84.443611,1.8855768,23.245623,14.296902,7.582243,36.065277,14.678284,7.985321,29.39888218,98.43462167
246,85.194221,1.3161653,63.135448,12.063017,9.1652746,35.158436,11.509399,9.0766068,192.3515044,399.5330164
4,82.266838,1.5095946,103.51379,12.845535,8.5092621,38.715317,12.366409,9.5568237,237.05161,20.094643
185,91.912178,1.3524988,162.48766,12.729568,9.4118881,39.607544,13.317993,10.216919,42.074409,292.35092
26,123.45656,1.0538355,114.02365,12.9164,12.256562,40.574215,12.615746,12.389771,173.02016,59.591579
135,123.92569,1.13495,154.75938,13.493418,11.888997,44.969566,14.557373,12.240356,58.380806,219.31625
87,138.71271,1.3916516,173.02452,15.886408,11.415506,52.032364,18.655762,12.494995,22.949406,159.69972
234,140.1201,1.7556086,152.36635,17.735876,10.102409,45.479256,18.27124,10.481445,227.51839,378.16226
190,140.62675,1.756204,172.65982,17.751163,10.107689,44.844398,17.771362,10.114746,91.528282,303.73441
161,140.85194,1.0493463,67.471024,13.756261,13.109363,43.678978,14.573669,13.259552,230.73724,253.68713
131,141.02083,1.0896693,15.943278,14.031807,12.877124,44.412464,14.677002,13.905273,260.87604,211.77339
30,142.69093,1.7665843,78.197708,17.958677,10.165763,45.687714,17.859985,10.342987,263.29205,63.810642
17,143.57291,1.4334937,73.147469,16.288612,11.362877,46.760651,17.996567,12.243805,105.3708,44.929893
16,146.96941,1.3433071,128.86432,15.936805,11.863857,45.09536,15.54303,12.061523,315.74979,43.717541
97,147.11954,1.6408387,99.292671,17.569059,10.707365,46.345436,17.429459,11.070679,377.57474,168.68576
233,152.46762,1.2089499,117.03825,15.369592,12.713175,47.789486,15.05072,13.165771,274.12534,375.79727
224,153.21823,1.3224167,125.76163,16.125097,12.193659,45.615059,15.776978,12.059326,89.344551,359.78653
3,155.65771,1.5189649,95.39743,17.426067,11.472331,46.902145,17.410339,11.540665,267.81097,18.531105
98,156.3708,1.1153706,107.42656,14.922605,13.379055,45.043419,15.228973,13.721588,65.455284,170.84531
201,156.55846,1.4949948,153.17406,17.333405,11.594291,46.593292,17.519897,11.752197,50.023705,322.33267
132,156.82117,1.2053666,156.01544,15.5778,12.923702,47.011864,16.133118,13.032227,390.53659,213.24008
41,157.68437,1.1138282,148.0932,14.982634,13.451476,45.538208,15.312531,13.952209,129.31949,81.820572
18,158.62263,1.2902288,75.16227,16.160385,12.525208,45.645908,16.350677,12.460617,161.95638,45.437061
23,161.24976,1.0580419,51.562031,14.774674,13.964167,45.963448,15.459717,14.604736,195.89554,57.301815
159,161.77519,1.5292571,175.35573,17.794611,11.636115,47.620705,18.609894,12.189209,244.75587,251.71448
180,161.88779,1.2061036,178.34935,15.871072,13.158962,51.112873,17.624512,14.349854,50.08057,285.81741
153,162.13173,1.0257697,154.86127,14.590108,14.223571,46.01503,14.637329,14.272949,63.517864,241.75391
195,162.39444,1.2630528,157.31842,16.205299,12.830263,46.897362,16.15564,12.609253,60.443115,313.40512
73,162.61963,1.5424432,161.7317,17.96401,11.646465,48.818634,17.898285,11.483887,82.283417,143.75099
133,163.05122,1.3057158,177.53146,16.483683,12.62425,46.292065,16.505615,12.20874,41.484024,213.52771
160,163.12628,1.4449131,26.832148,17.380762,12.028932,47.271385,16.841187,12.236633,84.668594,255.10153
75,163.76431,1.2854049,142.93948,16.427252,12.779826,46.946785,16.938171,13.355225,127.27256,142.69241
179,165.07788,1.1497108,31.136423,15.591355,13.561111,46.80405,16.23645,14.238342,100.57444,283.71323
10,165.77219,1.2778175,95.6511,16.473972,12.892274,47.751499,16.4245,13.227997,262.66846,31.241518
47,166.56033,1.4185518,92.45887,17.361208,12.238685,47.364491,17.891735,12.137726,74.487991,93.834724
59,166.86057,1.3972619,159.54279,17.241436,12.339445,47.095417,17.730377,12.232788,59.281723,115.06393
40,166.86057,1.0552769,170.00766,15.082977,14.292911,49.135399,16.036743,14.735718,230.91988,81.449692
189,166.87933,1.2827724,163.36209,16.614672,12.952159,47.89325,16.202637,13.396729,139.62096,301.50366
34,167.66748,1.407369,41.542076,17.406826,12.368345,47.849148,16.867737,12.543396,215.20644,73.066727
9,167.8176,1.2274743,175.79948,16.213375,13.208729,46.831833,16.247559,13.228149,202.24463,32.554611
209,168.34303,1.0693626,20.953316,15.153797,14.170869,46.366272,15.214844,14.030884,252.98227,337.64603
136,169.03734,1.0549673,25.25255,15.118185,14.330478,47.080429,15.3396,15.178284,102.35867,217.62224
163,169.41264,1.1868947,72.72744,16.030357,13.506133,47.110401,16.431396,13.937271,42.271629,255.81601
125,169.80672,1.0711032,50.914539,15.235991,14.224579,46.954475,15.38269,14.14624,347.50119,205.87016
51,170.0882,1.0213466,62.304867,14.931479,14.619404,47.554703,15.603485,15.260986,185.36311,101.74154
191,170.9514,1.3710443,164.84886,17.293634,12.613477,47.627941,17.792175,13.420654,158.57919,306.51169
78,171.06398,1.1241633,74.752632,15.662711,13.932773,46.818634,15.85907,14.140945,63.577831,148.28917
91,171.47682,1.1458547,55.768425,15.912764,13.887243,48.855125,16.636963,14.793335,350.31644,166.63574
79,171.53311,1.349102,101.34748,17.254761,12.789812,48.544315,17.759781,12.681641,383.71118,148.54536
142,171.77707,1.3893266,77.341751,17.524015,12.613317,53.290565,18.693359,14.503525,263.54288,225.58319
127,172.20866,1.1005914,18.433237,15.559956,14.137813,47.379726,15.421631,14.425224,172.54698,207.16492
56,172.77162,1.2558216,85.081932,16.725615,13.318464,48.828175,16.320709,13.527906,276.84369,110.07478
37,172.90298,1.1364974,55.821354,15.912663,14.001495,52.696026,16.003296,14.339783,247.23323,78.948944
124,173.40964,1.175644,78.71064,16.231897,13.806812,50.247116,16.308777,13.757133,202.94212,205.42732
137,173.9726,1.2085826,47.027878,16.395588,13.565963,47.974411,16.615967,13.997131,368.15475,219.50067
42,174.14149,1.2025636,101.19983,16.384579,13.624708,48.92746,16.606903,13.958069,349.4606,82.606476
218,174.14149,1.2088834,24.700371,16.394358,13.561571,47.631191,16.559326,13.694656,272.52814,352.83273
53,174.3479,1.5307516,86.514259,18.52635,12.10278,50.84309,18.828873,11.847176,108.86399,106.47528
114,174.57309,1.5588162,65.414207,18.647558,11.962641,49.347305,19.001099,12.348541,181.37851,189.05411
43,175.13605,1.1112467,173.65381,15.757834,14.180321,47.299721,15.763016,14.174683,107.30396,87.404541
90,175.19234,1.0840986,2.3999581,15.575272,14.367025,47.886555,14.953613,14.342224,277.03577,162.0294
168,175.2674,1.0358638,56.935993,15.345897,14.81459,51.216209,16.653198,16.217972,97.907623,267.33539
181,175.83035,1.09112,59.037117,15.641317,14.335103,47.670208,15.810791,14.23674,188.79907,284.95584
152,176.16814,1.0752999,4.7548428,15.55509,14.465816,47.662235,15.539063,14.470093,102.56287,238.61284
236,176.16814,1.2169633,152.70979,16.594063,13.635632,50.091473,16.578979,13.500732,136.87756,379.28842
